Time,Temperature2M,RelativeHumidity2M,WindSpeed10M
2024-08-20T00:00,22.70,94,8.20
2024-08-20T01:00,22.70,95,5.60
2024-08-20T02:00,22.80,95,6.60
2024-08-20T03:00,22.80,95,9.70
2024-08-20T04:00,22.70,95,11.40
2024-08-20T05:00,22.70,94,11.00
2024-08-20T06:00,22.80,94,11.10
2024-08-20T07:00,23.10,93,11.80
2024-08-20T08:00,23.70,91,14.80
2024-08-20T09:00,24.30,89,14.70
2024-08-20T10:00,25.20,85,16.60
2024-08-20T11:00,26.40,78,18.80
2024-08-20T12:00,26.90,74,20.40
2024-08-20T13:00,27.00,78,19.10
2024-08-20T14:00,27.00,76,17.10
2024-08-20T15:00,27.10,76,16.60
2024-08-20T16:00,26.80,78,16.00
2024-08-20T17:00,26.20,78,13.20
2024-08-20T18:00,25.30,84,9.30
2024-08-20T19:00,24.70,88,9.30
2024-08-20T20:00,24.20,90,9.40
2024-08-20T21:00,24.10,92,10.10
2024-08-20T22:00,23.90,92,11.90
2024-08-20T23:00,23.60,93,10.70
2024-08-21T00:00,23.40,93,11.20
2024-08-21T01:00,23.40,93,11.00
2024-08-21T02:00,23.40,94,11.70
2024-08-21T03:00,23.20,93,12.00
2024-08-21T04:00,23.10,93,9.40
2024-08-21T05:00,23.10,94,8.10
2024-08-21T06:00,23.10,94,8.90
2024-08-21T07:00,23.80,91,10.90
2024-08-21T08:00,24.50,89,12.30
2024-08-21T09:00,25.20,86,13.60
2024-08-21T10:00,26.00,82,14.80
2024-08-21T11:00,27.00,78,14.80
2024-08-21T12:00,27.50,77,14.20
2024-08-21T13:00,27.90,74,14.40
2024-08-21T14:00,28.70,69,13.60
2024-08-21T15:00,29.10,67,13.20
2024-08-21T16:00,28.80,69,12.70
2024-08-21T17:00,28.30,71,11.00
2024-08-21T18:00,26.80,79,8.40
2024-08-21T19:00,26.00,85,7.10
2024-08-21T20:00,25.40,88,6.40
2024-08-21T21:00,25.00,89,6.60
2024-08-21T22:00,24.80,89,6.80
2024-08-21T23:00,24.60,89,7.00
2024-08-22T00:00,24.50,90,7.60
2024-08-22T01:00,24.30,91,8.50
2024-08-22T02:00,24.10,91,9.00
2024-08-22T03:00,24.10,91,10.10
2024-08-22T04:00,23.90,92,11.30
2024-08-22T05:00,23.80,93,11.60
2024-08-22T06:00,23.90,93,11.60
2024-08-22T07:00,24.50,91,14.70
2024-08-22T08:00,25.30,86,16.30
2024-08-22T09:00,25.90,84,14.60
2024-08-22T10:00,26.60,82,14.30
2024-08-22T11:00,27.40,79,14.60
2024-08-22T12:00,27.50,78,15.30
2024-08-22T13:00,27.90,76,15.70
2024-08-22T14:00,28.20,74,15.20
2024-08-22T15:00,27.90,76,14.70
2024-08-22T16:00,27.50,78,12.60
2024-08-22T17:00,26.80,82,11.20
2024-08-22T18:00,25.60,87,8.40
2024-08-22T19:00,25.40,89,6.10
2024-08-22T20:00,25.10,90,4.70
2024-08-22T21:00,24.90,91,3.40
2024-08-22T22:00,24.80,92,3.70
2024-08-22T23:00,24.70,92,3.80
2024-08-23T00:00,24.60,92,5.30
2024-08-23T01:00,24.40,92,7.10
2024-08-23T02:00,24.10,92,9.40
2024-08-23T03:00,23.90,92,11.20
2024-08-23T04:00,23.70,92,12.50
2024-08-23T05:00,23.60,92,13.50
2024-08-23T06:00,23.60,92,14.60
2024-08-23T07:00,23.80,91,16.00
2024-08-23T08:00,24.10,90,17.40
2024-08-23T09:00,24.50,88,18.20
2024-08-23T10:00,25.00,86,18.40
2024-08-23T11:00,25.60,84,17.90
2024-08-23T12:00,25.90,83,17.30
2024-08-23T13:00,25.90,83,16.50
2024-08-23T14:00,25.70,84,15.40
2024-08-23T15:00,25.40,85,14.10
2024-08-23T16:00,25.10,86,12.50
2024-08-23T17:00,24.80,88,11.00
2024-08-23T18:00,24.50,89,9.70
2024-08-23T19:00,24.30,91,8.70
2024-08-23T20:00,24.20,92,7.90
2024-08-23T21:00,24.10,93,8.20
2024-08-23T22:00,23.90,93,10.50
2024-08-23T23:00,23.70,92,13.90
2024-08-24T00:00,23.60,91,16.00
2024-08-24T01:00,23.40,91,16.20
2024-08-24T02:00,23.30,91,15.40
2024-08-24T03:00,23.10,92,14.30
2024-08-24T04:00,22.90,93,13.30
2024-08-24T05:00,22.80,94,12.00
2024-08-24T06:00,22.80,94,11.20
2024-08-24T07:00,23.10,92,12.00
2024-08-24T08:00,23.60,90,13.60
2024-08-24T09:00,24.00,88,14.60
2024-08-24T10:00,24.40,87,14.30
2024-08-24T11:00,24.80,87,13.20
2024-08-24T12:00,25.20,86,12.00
2024-08-24T13:00,25.60,84,11.10
2024-08-24T14:00,25.90,82,10.10
2024-08-24T15:00,26.00,81,9.10
2024-08-24T16:00,25.60,83,7.50
2024-08-24T17:00,25.00,87,5.90
2024-08-24T18:00,24.50,90,4.80
